site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Monash Solar Farm,RIV,medium,no_coord_m1_backstop,RIV,medium,,,RIV,Riverland REZ corridor (Renmark/Berri/Loxton),Monash,,,,,,,,
Mornington BESS,SW-VIC,high,agree,SW-VIC,medium,SW-VIC,high,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Mornington,240.0,Storage - Battery,Other - Other,Mornington BESS Project Pty Ltd as Trustee of Mornington BESS Project Trust,,,,
Mortlake Battery,SW-VIC,high,agree,SW-VIC,high,SW-VIC,high,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Mortlake,300.0,Storage - Battery,Other - Other,BORAL,,,,
Mortlake BESS,SW-VIC,high,agree,SW-VIC,high,SW-VIC,high,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Mortlake,,,,,,,,
Morwell Battery Energy Storage System,GIP,medium,no_coord_m1_backstop,GIP,medium,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Morwell,,,,,,,,
Murray Bridge Hahndorf Pumping Station 2 Solar,SE-SA,medium,no_coord_m1_backstop,SE-SA,medium,,,SE-SA,South-East SA REZ corridor (Tailem Bend/Tungkillo/Heywood interconnector),Murray Bridge,,,,,,,,
Navarre Wind Farm,WV,medium,excluded_m1,Unclassified,review,WV,medium,Unclassified,No rule matched — manual review needed,,,,,,,,,
New England Solar Farm BESS,NEW,high,agree,NEW,high,NEW,high,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),New England,100.0,Storage - Battery,Other - Other,ACEN RENEWABLES,,,,
Nine Network Willoughby,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
North West Bend Substation,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Para Substation/Gould Creek BESS,MN,high,agree,MN,high,MN,medium,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Para,,,,,,,,
Port Latta Wind Farm,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),21.0,Wind Turbine - Onshore,Wind - Wind,Oz Green Energy I Pty Ltd,,,,
Queanbeyan BESS (Global Power),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Queanbeyan BESS (Neoen),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
